code,name,gender,country_code,nationality,disciplines,birth_date
1532872,ALEKSANYAN Artur,Male,ARM,Armenia,['Wrestling'],21.10.1991
1532873,AMOYAN Malkhas,Male,ARM,Armenia,['Wrestling'],22.01.1999
1532874,GALSTYAN Slavik,Male,ARM,Armenia,['Wrestling'],21.12.1996
1532944,HARUTYUNYAN Arsen,Male,ARM,Armenia,['Wrestling'],22.11.1999
1532945,TEVANYAN Vazgen,Male,ARM,Armenia,['Wrestling'],27.10.1999
1532951,ARENAS Lorena,Female,COL,Colombia,['Athletics'],17.09.1993
1533112,McKENZIE Ashley,Male,JAM,Jamaica,['Judo'],17.07.1989
1533136,BASS BITTAYE Gina Mariam,Female,GAM,Gambia,['Athletics'],3.05.1995
1533176,CAMARA Ebrahima,Male,GAM,Gambia,['Athletics'],18.09.1996
1533188,RUEDA SANTOS Lizeth,Female,MEX,Mexico,['Triathlon'],7.03.1994
1533189,TAPIA VIDAL Rosa Maria,Female,MEX,Mexico,['Triathlon'],27.08.1997
1533190,GRAJALES Crisanto,Male,MEX,Mexico,['Triathlon'],6.05.1987
1533208,MAAROUFOU Hachim,Male,COM,Comoros,['Athletics'],13.02.1997
1533209,SAADI Maesha,Female,COM,Comoros,['Swimming'],16.01.2007
1533230,DIOSDADO Nuria,Female,MEX,Mexico,['Artistic Swimming'],22.08.1990
1533231,JIMENEZ Joana,Female,MEX,Mexico,['Artistic Swimming'],19.08.1993
1533232,SOBRINO Jessica,Female,MEX,Mexico,['Artistic Swimming'],26.05.1994
1533234,ALFEREZ Regina,Female,MEX,Mexico,['Artistic Swimming'],1.12.1997
1533235,ARELLANO Fernanda,Female,MEX,Mexico,['Artistic Swimming'],28.02.2002
1533237,TOSCANO Pamela,Female,MEX,Mexico,['Artistic Swimming'],13.01.2000
1533239,GONZALEZ Itzamary,Female,MEX,Mexico,['Artistic Swimming'],14.11.2003
1533240,RODRIGUEZ Samanta,Female,MEX,Mexico,['Artistic Swimming'],5.12.1994
1533243,INZUNZA Glenda,Female,MEX,Mexico,['Artistic Swimming'],12.03.2000
1533245,SEHEN Sajjad,Male,IRQ,Iraq,['Judo'],8.03.1996
1533359,RUBAIAWI Ali Ammar Yusur,Male,IRQ,Iraq,['Weightlifting'],2.08.2004
1533364,ISMAIL Mohamed,Male,DJI,Djibouti,['Athletics'],1.01.1997
1533371,HASSAN Ibrahim,Male,DJI,Djibouti,['Athletics'],1.01.1997
1533372,WAISS Abdi,Male,DJI,Djibouti,['Athletics'],3.07.1996
1533374,HASSAN NOUR Samiyah,Female,DJI,Djibouti,['Athletics'],5.12.1999
1533378,HOUSSEIN BARKAT Houmed,Male,DJI,Djibouti,['Swimming'],4.04.2004
1535180,BARAT Andy,Male,COM,Comoros,['Canoe Slalom'],29.11.1997
1535186,MARTINEZ RAMIREZ Miguel Angel,Male,MEX,Mexico,['Boxing'],17.03.2001
1535187,VERDE ALVAREZ Marco Alonso,Male,MEX,Mexico,['Boxing'],11.02.2002
1535191,GONZALEZ Alegna,Female,MEX,Mexico,['Athletics'],2.01.1999
1535195,LOPEZ Jesus Tonatiu,Male,MEX,Mexico,['Athletics'],2.08.1997
1535199,PORTILLO Erick,Male,MEX,Mexico,['Athletics'],5.10.2000
1535201,MUNOZ Uziel,Male,MEX,Mexico,['Athletics'],8.09.1995
1535202,del REAL Diego,Male,MEX,Mexico,['Athletics'],6.03.1994
1535203,DOCTOR Jose Luis,Male,MEX,Mexico,['Athletics'],14.06.1996
1535212,MORAN Paola,Female,MEX,Mexico,['Athletics'],25.02.1997
1535214,GALVAN Laura,Female,MEX,Mexico,['Athletics'],5.10.1991
1535216,CORTES Alma Delia,Female,MEX,Mexico,['Athletics'],26.12.1997
1535217,CRISTIAN MOSCOTE Citlali,Female,MEX,Mexico,['Athletics'],15.04.1995
1535222,PALMA OLIVARES Ever Jair,Male,MEX,Mexico,['Athletics'],18.03.1992
1535225,OETLING RAMIREZ Elena,Female,MEX,Mexico,['Sailing'],18.04.1993
1535226,AGUILAR CHAVEZ PEON Mariana,Female,MEX,Mexico,['Sailing'],12.03.1999
1535252,LECHUGA ALANIS Kenia,Female,MEX,Mexico,['Rowing'],26.06.1994
1535260,LOPEZ GARCIA Alexis,Male,MEX,Mexico,['Rowing'],1.05.1997
1535267,CARBALLO NIETO Miguel,Male,MEX,Mexico,['Rowing'],8.07.1992
1535310,BLANCO Luisa,Female,COL,Colombia,['Artistic Gymnastics'],18.11.2001
1535343,WILLARS VALDEZ Randal,Male,MEX,Mexico,['Diving'],30.04.2002
1535345,BERLIN REYES Kevin,Male,MEX,Mexico,['Diving'],25.04.2001
1535346,OROZCO LOZA Alejandra,Female,MEX,Mexico,['Diving'],19.04.1997
1535348,AGUNDEZ GARCIA Gabriela,Female,MEX,Mexico,['Diving'],4.08.2000
1535349,OLVERA IBARRA Osmar,Male,MEX,Mexico,['Diving'],5.06.2004
1535350,GARZA PEREZ Eugenio,Male,MEX,Mexico,['Equestrian'],23.07.1996
1535351,FERNANDEZ Federico,Male,MEX,Mexico,['Equestrian'],28.03.1968
1535354,de LARA OJEDA Miguel Alejandro,Male,MEX,Mexico,['Swimming'],9.08.1994
1535356,MORENO Alexa,Female,MEX,Mexico,['Artistic Gymnastics'],8.08.1994
1535357,SANDOVAL Ahtziri,Female,MEX,Mexico,['Artistic Gymnastics'],5.10.1996
1535358,FLORES Sofia,Female,MEX,Mexico,['Rhythmic Gymnastics'],20.12.2004
1535359,SALAZAR Kimberly,Female,MEX,Mexico,['Rhythmic Gymnastics'],24.04.2004
1535360,TEJEDA Adirem,Female,MEX,Mexico,['Rhythmic Gymnastics'],21.06.2002
1535361,ALCOCER Dalia,Female,MEX,Mexico,['Rhythmic Gymnastics'],2.01.2004
1535362,GUTIERREZ Julia,Female,MEX,Mexico,['Rhythmic Gymnastics'],13.09.2007
1535363,HERNANDEZ Emiliano,Male,MEX,Mexico,['Modern Pentathlon'],27.01.1998
1535364,CARRILLO Duilio,Male,MEX,Mexico,['Modern Pentathlon'],24.03.1997
1535365,OLIVER Mayan,Female,MEX,Mexico,['Modern Pentathlon'],11.07.1993
1535366,SANSORES Carlos,Male,MEX,Mexico,['Taekwondo'],25.06.1997
