events_code,event_name,url,discipline_code,sport_name
0,Men's Individual,https://olympics.com/en/paris-2024/sports/archery,ARC,Archery
1,Women's Individual,https://olympics.com/en/paris-2024/sports/archery,ARC,Archery
2,Men's Team,https://olympics.com/en/paris-2024/sports/archery,ARC,Archery
3,Women's Team,https://olympics.com/en/paris-2024/sports/archery,ARC,Archery
4,Mixed Team,https://olympics.com/en/paris-2024/sports/archery,ARC,Archery
5,Men's Team,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,GAR,Artistic Gymnastics
6,Men's All-Around,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,GAR,Artistic Gymnastics
7,Men's Floor Exercise,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,GAR,Artistic Gymnastics
8,Men's Pommel Horse,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,GAR,Artistic Gymnastics
9,Men's Rings,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,GAR,Artistic Gymnastics
10,Men's Vault,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,GAR,Artistic Gymnastics
11,Men's Parallel Bars,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,GAR,Artistic Gymnastics
12,Men's Horizontal Bar,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,GAR,Artistic Gymnastics
13,Women's Team,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,GAR,Artistic Gymnastics
14,Women's All-Around,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,GAR,Artistic Gymnastics
15,Women's Vault,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,GAR,Artistic Gymnastics
16,Women's Uneven Bars,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,GAR,Artistic Gymnastics
17,Women's Balance Beam,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,GAR,Artistic Gymnastics
18,Women's Floor Exercise,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,GAR,Artistic Gymnastics
19,Duet,https://olympics.com/en/paris-2024/sports/artistic-swimming,SWA,Artistic Swimming
20,Team,https://olympics.com/en/paris-2024/sports/artistic-swimming,SWA,Artistic Swimming
21,Men's 100m,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
22,Men's 200m,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
23,Men's 400m,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
24,Men's 800m,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
25,Men's 1500m,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
26,Men's 5000m,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
27,"Men's 10,000m",https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
28,Men's Marathon,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
29,Men's 3000m Steeplechase,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
30,Men's 110m Hurdles,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
31,Men's 400m Hurdles,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
32,Men's High Jump,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
33,Men's Pole Vault,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
34,Men's Long Jump,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
35,Men's Triple Jump,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
36,Men's Shot Put,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
37,Men's Discus Throw,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
38,Men's Hammer Throw,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
39,Men's Javelin Throw,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
40,Men's Decathlon,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
41,Men's 20km Race Walk,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
42,Men's 4 x 100m Relay,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
43,Men's 4 x 400m Relay,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
44,Women's 100m,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
45,Women's 200m,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
46,Women's 400m,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
47,Women's 800m,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
48,Women's 1500m,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
49,Women's 5000m,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
50,"Women's 10,000m",https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
51,Women's Marathon,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
52,Women's 3000m Steeplechase,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
53,Women's 100m Hurdles,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
54,Women's 400m Hurdles,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
55,Women's High Jump,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
56,Women's Pole Vault,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
57,Women's Long Jump,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
58,Women's Triple Jump,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
59,Women's Shot Put,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
60,Women's Discus Throw,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
61,Women's Hammer Throw,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
62,Women's Javelin Throw,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
63,Women's Heptathlon,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
64,Women's 20km Race Walk,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
65,Women's 4 x 100m Relay,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
66,Women's 4 x 400m Relay,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
67,4 x 400m Relay Mixed,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
68,Marathon Race Walk Relay Mixed,https://olympics.com/en/paris-2024/sports/athletics,ATH,Athletics
69,Men's Singles,https://olympics.com/en/paris-2024/sports/badminton,BDM,Badminton
70,Women's Singles,https://olympics.com/en/paris-2024/sports/badminton,BDM,Badminton
71,Men's Doubles,https://olympics.com/en/paris-2024/sports/badminton,BDM,Badminton
72,Women's Doubles,https://olympics.com/en/paris-2024/sports/badminton,BDM,Badminton
73,Mixed Doubles,https://olympics.com/en/paris-2024/sports/badminton,BDM,Badminton
74,Men,https://olympics.com/en/paris-2024/sports/basketball,BKB,Basketball
75,Women,https://olympics.com/en/paris-2024/sports/basketball,BKB,Basketball
76,Men,https://olympics.com/en/paris-2024/sports/3x3-basketball,BK3,3x3 Basketball
77,Women,https://olympics.com/en/paris-2024/sports/3x3-basketball,BK3,3x3 Basketball
78,Men,https://olympics.com/en/paris-2024/sports/beach-volleyball,VBV,Beach Volleyball
79,Women,https://olympics.com/en/paris-2024/sports/beach-volleyball,VBV,Beach Volleyball
80,Men's 51kg,https://olympics.com/en/paris-2024/sports/boxing,BOX,Boxing
81,Men's 57kg,https://olympics.com/en/paris-2024/sports/boxing,BOX,Boxing
82,Men's 63.5kg,https://olympics.com/en/paris-2024/sports/boxing,BOX,Boxing
83,Men's 71kg,https://olympics.com/en/paris-2024/sports/boxing,BOX,Boxing
84,Men's 80kg,https://olympics.com/en/paris-2024/sports/boxing,BOX,Boxing
