start_date;end_date;status;discipline_code;event_name;phase;gender;venue;event_code;url;schedule_code
24.07.2024 15:00;24.07.2024 16:45;FINISHED;FBL;Men;Men's Group B;M;Geoffroy-Guichard Stadium;159;/en/paris-2024/results/football/men/gpb-000100--;1
24.07.2024 15:00;24.07.2024 16:45;FINISHED;FBL;Men;Men's Group C;M;Parc des Princes;159;/en/paris-2024/results/football/men/gpc-000100--;2
24.07.2024 15:30;24.07.2024 15:46;FINISHED;RU7;Men;Men's Pool B;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/gpb-000100--;3
24.07.2024 16:00;24.07.2024 16:16;FINISHED;RU7;Men;Men's Pool B;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/gpb-000200--;4
24.07.2024 16:30;24.07.2024 16:46;FINISHED;RU7;Men;Men's Pool C;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/gpc-000100--;5
24.07.2024 17:00;24.07.2024 18:45;FINISHED;FBL;Men;Men's Group A;M;Nice Stadium;159;/en/paris-2024/results/football/men/gpa-000200--;6
24.07.2024 17:00;24.07.2024 18:45;FINISHED;FBL;Men;Men's Group C;M;La Beaujoire Stadium;159;/en/paris-2024/results/football/men/gpc-000200--;7
24.07.2024 17:00;24.07.2024 17:16;FINISHED;RU7;Men;Men's Pool C;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/gpc-000200--;8
24.07.2024 17:30;24.07.2024 17:46;FINISHED;RU7;Men;Men's Pool A;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/gpa-000100--;9
24.07.2024 18:00;24.07.2024 18:16;FINISHED;RU7;Men;Men's Pool A;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/gpa-000200--;10
24.07.2024 19:00;24.07.2024 20:45;FINISHED;FBL;Men;Men's Group B;M;Lyon Stadium;159;/en/paris-2024/results/football/men/gpb-000200--;11
24.07.2024 19:00;24.07.2024 20:45;FINISHED;FBL;Men;Men's Group D;M;Bordeaux Stadium;159;/en/paris-2024/results/football/men/gpd-000200--;12
24.07.2024 19:00;24.07.2024 19:16;FINISHED;RU7;Men;Men's Pool B;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/gpb-000300--;13
24.07.2024 19:30;24.07.2024 19:46;FINISHED;RU7;Men;Men's Pool B;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/gpb-000400--;14
24.07.2024 20:00;24.07.2024 20:16;FINISHED;RU7;Men;Men's Pool C;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/gpc-000300--;15
24.07.2024 20:30;24.07.2024 20:46;FINISHED;RU7;Men;Men's Pool C;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/gpc-000400--;16
24.07.2024 21:00;24.07.2024 22:45;FINISHED;FBL;Men;Men's Group A;M;Marseille Stadium;159;/en/paris-2024/results/football/men/gpa-000100--;17
24.07.2024 21:00;24.07.2024 22:45;FINISHED;FBL;Men;Men's Group D;M;Parc des Princes;159;/en/paris-2024/results/football/men/gpd-000100--;18
24.07.2024 21:00;24.07.2024 21:16;FINISHED;RU7;Men;Men's Pool A;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/gpa-000300--;19
24.07.2024 21:30;24.07.2024 21:46;FINISHED;RU7;Men;Men's Pool A;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/gpa-000400--;20
25.07.2024 09:00;25.07.2024 10:30;FINISHED;HBL;Women;Women's Preliminary Round Group A;W;South Paris Arena 6;164;/en/paris-2024/results/handball/women/gpa-000100--;21
25.07.2024 09:30;25.07.2024 12:30;FINISHED;ARC;Women's Individual;Women's Individual Ranking Round;W;Invalides;1;/en/paris-2024/results/archery/women-s-individual/qual000100--;22
25.07.2024 11:00;25.07.2024 12:30;FINISHED;HBL;Women;Women's Preliminary Round Group B;W;South Paris Arena 6;164;/en/paris-2024/results/handball/women/gpb-000100--;23
25.07.2024 14:00;25.07.2024 15:30;FINISHED;HBL;Women;Women's Preliminary Round Group B;W;South Paris Arena 6;164;/en/paris-2024/results/handball/women/gpb-000200--;24
25.07.2024 14:00;25.07.2024 14:16;FINISHED;RU7;Men;Men's Pool B;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/gpb-000500--;25
25.07.2024 14:15;25.07.2024 17:15;FINISHED;ARC;Men's Individual;Men's Individual Ranking Round;M;Invalides;0;/en/paris-2024/results/archery/men-s-individual/qual000100--;26
25.07.2024 14:30;25.07.2024 14:46;FINISHED;RU7;Men;Men's Pool B;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/gpb-000600--;27
25.07.2024 15:00;25.07.2024 15:16;FINISHED;RU7;Men;Men's Pool C;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/gpc-000500--;28
25.07.2024 15:30;25.07.2024 15:46;FINISHED;RU7;Men;Men's Pool C;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/gpc-000600--;29
25.07.2024 16:00;25.07.2024 17:30;FINISHED;HBL;Women;Women's Preliminary Round Group A;W;South Paris Arena 6;164;/en/paris-2024/results/handball/women/gpa-000200--;30
25.07.2024 16:00;25.07.2024 16:16;FINISHED;RU7;Men;Men's Pool A;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/gpa-000500--;31
25.07.2024 16:30;25.07.2024 16:46;FINISHED;RU7;Men;Men's Pool A;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/gpa-000600--;32
25.07.2024 17:00;25.07.2024 18:45;FINISHED;FBL;Women;Women's Group A;W;Geoffroy-Guichard Stadium;160;/en/paris-2024/results/football/women/gpa-000200--;33
25.07.2024 17:00;25.07.2024 18:45;FINISHED;FBL;Women;Women's Group C;W;La Beaujoire Stadium;160;/en/paris-2024/results/football/women/gpc-000100--;34
25.07.2024 19:00;25.07.2024 20:45;FINISHED;FBL;Women;Women's Group B;W;Marseille Stadium;160;/en/paris-2024/results/football/women/gpb-000200--;35
25.07.2024 19:00;25.07.2024 20:45;FINISHED;FBL;Women;Women's Group C;W;Bordeaux Stadium;160;/en/paris-2024/results/football/women/gpc-000200--;36
25.07.2024 19:00;25.07.2024 20:30;FINISHED;HBL;Women;Women's Preliminary Round Group B;W;South Paris Arena 6;164;/en/paris-2024/results/handball/women/gpb-000300--;37
25.07.2024 20:00;25.07.2024 20:16;FINISHED;RU7;Men;Men's Placing 9-12;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/sf9-000100--;38
25.07.2024 20:30;25.07.2024 20:46;FINISHED;RU7;Men;Men's Placing 9-12;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/sf9-000200--;39
25.07.2024 21:00;25.07.2024 22:45;FINISHED;FBL;Women;Women's Group A;W;Lyon Stadium;160;/en/paris-2024/results/football/women/gpa-000100--;40
25.07.2024 21:00;25.07.2024 22:45;FINISHED;FBL;Women;Women's Group B;W;Nice Stadium;160;/en/paris-2024/results/football/women/gpb-000100--;41
25.07.2024 21:00;25.07.2024 22:30;FINISHED;HBL;Women;Women's Preliminary Round Group A;W;South Paris Arena 6;164;/en/paris-2024/results/handball/women/gpa-000300--;42
25.07.2024 21:00;25.07.2024 21:16;FINISHED;RU7;Men;Men's Quarter-finals;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/qfnl000100--;43
25.07.2024 21:30;25.07.2024 21:46;FINISHED;RU7;Men;Men's Quarter-finals;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/qfnl000200--;44
25.07.2024 22:00;25.07.2024 22:16;FINISHED;RU7;Men;Men's Quarter-finals;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/qfnl000300--;45
25.07.2024 22:30;25.07.2024 22:46;FINISHED;RU7;Men;Men's Quarter-finals;M;Stade de France;202;/en/paris-2024/results/rugby-sevens/men/qfnl000400--;46
26.07.2024 09:00;26.07.2024 09:30;FINISHED;SHO;10m Air Rifle Mixed Team;10m Air Rifle Mixed Team Training;X;Chateauroux Shooting Ctr;226;;47
26.07.2024 10:00;26.07.2024 11:15;FINISHED;SHO;10m Air Pistol Men;10m Air Pistol Men's Training;M;Chateauroux Shooting Ctr;216;;48
26.07.2024 11:45;26.07.2024 13:00;FINISHED;SHO;10m Air Pistol Women;10m Air Pistol Women Training;W;Chateauroux Shooting Ctr;222;;49
27.07.2024 08:30;27.07.2024 09:10;FINISHED;BDM;Mixed Doubles;Mixed Doubles Group Play Stage - Grp D;X;La Chapelle Arena;73;/en/paris-2024/results/badminton/mixed-doubles/gpd-000600--;50
