athlete_code,name,gender,country_code,nationality,disciplines,birth_date
1532872,ALEKSANYAN Artur,M,ARM,Armenia,['Wrestling'],21.10.1991
1532873,AMOYAN Malkhas,M,ARM,Armenia,['Wrestling'],22.01.1999
1532874,GALSTYAN Slavik,M,ARM,Armenia,['Wrestling'],21.12.1996
1532944,HARUTYUNYAN Arsen,M,ARM,Armenia,['Wrestling'],22.11.1999
1532945,TEVANYAN Vazgen,M,ARM,Armenia,['Wrestling'],27.10.1999
1532951,ARENAS Lorena,F,COL,Colombia,['Athletics'],17.09.1993
1533112,McKENZIE Ashley,M,JAM,Jamaica,['Judo'],17.07.1989
1533136,BASS BITTAYE Gina Mariam,F,GAM,Gambia,['Athletics'],3.05.1995
1533176,CAMARA Ebrahima,M,GAM,Gambia,['Athletics'],18.09.1996
1533188,RUEDA SANTOS Lizeth,F,MEX,Mexico,['Triathlon'],7.03.1994
1533189,TAPIA VIDAL Rosa Maria,F,MEX,Mexico,['Triathlon'],27.08.1997
1533190,GRAJALES Crisanto,M,MEX,Mexico,['Triathlon'],6.05.1987
1533208,MAAROUFOU Hachim,M,COM,Comoros,['Athletics'],13.02.1997
1533209,SAADI Maesha,F,COM,Comoros,['Swimming'],16.01.2007
1533230,DIOSDADO Nuria,F,MEX,Mexico,['Artistic Swimming'],22.08.1990
1533231,JIMENEZ Joana,F,MEX,Mexico,['Artistic Swimming'],19.08.1993
1533232,SOBRINO Jessica,F,MEX,Mexico,['Artistic Swimming'],26.05.1994
1533234,ALFEREZ Regina,F,MEX,Mexico,['Artistic Swimming'],1.12.1997
1533235,ARELLANO Fernanda,F,MEX,Mexico,['Artistic Swimming'],28.02.2002
1533237,TOSCANO Pamela,F,MEX,Mexico,['Artistic Swimming'],13.01.2000
1533239,GONZALEZ Itzamary,F,MEX,Mexico,['Artistic Swimming'],14.11.2003
1533240,RODRIGUEZ Samanta,F,MEX,Mexico,['Artistic Swimming'],5.12.1994
1533243,INZUNZA Glenda,F,MEX,Mexico,['Artistic Swimming'],12.03.2000
