athlete_code,name,gender,country_code,nationality,birth_date
1532872,ALEKSANYAN Artur,M,ARM,Armenia,1991-10-21
1532873,AMOYAN Malkhas,M,ARM,Armenia,1999-01-22
1532874,GALSTYAN Slavik,M,ARM,Armenia,1996-12-21
1532944,HARUTYUNYAN Arsen,M,ARM,Armenia,1999-11-22
1532945,TEVANYAN Vazgen,M,ARM,Armenia,1999-10-27
1532951,ARENAS Lorena,F,COL,Colombia,1993-09-17
1533112,McKENZIE Ashley,M,JAM,Jamaica,1989-07-17
1533136,BASS BITTAYE Gina Mariam,F,GAM,Gambia,1995-05-03
1533176,CAMARA Ebrahima,M,GAM,Gambia,1996-09-18
1533188,RUEDA SANTOS Lizeth,F,MEX,Mexico,1994-03-07
1533189,TAPIA VIDAL Rosa Maria,F,MEX,Mexico,1997-08-27
1533190,GRAJALES Crisanto,M,MEX,Mexico,1987-05-06
1533208,MAAROUFOU Hachim,M,COM,Comoros,1997-02-13
1533209,SAADI Maesha,F,COM,Comoros,2007-01-16
1533230,DIOSDADO Nuria,F,MEX,Mexico,1990-08-22
1533231,JIMENEZ Joana,F,MEX,Mexico,1993-08-19
1533232,SOBRINO Jessica,F,MEX,Mexico,1994-05-26
1533234,ALFEREZ Regina,F,MEX,Mexico,1997-12-01
1533235,ARELLANO Fernanda,F,MEX,Mexico,2002-02-28
1533237,TOSCANO Pamela,F,MEX,Mexico,2000-01-13
1533239,GONZALEZ Itzamary,F,MEX,Mexico,2003-11-14
1533240,RODRIGUEZ Samanta,F,MEX,Mexico,1994-12-05
1533243,INZUNZA Glenda,F,MEX,Mexico,2000-03-12
1533245,SEHEN Sajjad,M,IRQ,Iraq,1996-03-08
1533359,RUBAIAWI Ali Ammar Yusur,M,IRQ,Iraq,2004-08-02
1533364,ISMAIL Mohamed,M,DJI,Djibouti,1997-01-01
1533371,HASSAN Ibrahim,M,DJI,Djibouti,1997-01-01
1533372,WAISS Abdi,M,DJI,Djibouti,1996-07-03
1533374,HASSAN NOUR Samiyah,F,DJI,Djibouti,1999-12-05
1533378,HOUSSEIN BARKAT Houmed,M,DJI,Djibouti,2004-04-04
1535180,BARAT Andy,M,COM,Comoros,1997-11-29
1535186,MARTINEZ RAMIREZ Miguel Angel,M,MEX,Mexico,2001-03-17
1535187,VERDE ALVAREZ Marco Alonso,M,MEX,Mexico,2002-02-11
1535191,GONZALEZ Alegna,F,MEX,Mexico,1999-01-02
1535195,LOPEZ Jesus Tonatiu,M,MEX,Mexico,1997-08-02
