medal_date,medal_code,gender,country_code,team_gender,discipline,event,code_athlete,code_team,id
10.08.2024,1,M,SWE,M,Beach Volleyball,Men,1934586,VBVMTEAM2---SWE01,19
10.08.2024,1,M,SWE,M,Beach Volleyball,Men,1934579,VBVMTEAM2---SWE01,780
9.08.2024,1,F,BRA,W,Beach Volleyball,Women,1964088,VBVWTEAM2---BRA01,1737
9.08.2024,1,F,BRA,W,Beach Volleyball,Women,1964058,VBVWTEAM2---BRA01,1799
4.08.2024,2,F,AIN,W,Tennis,Women's Doubles,1979734,TENWDOUBLES-AIN02,71
4.08.2024,2,F,AIN,W,Tennis,Women's Doubles,1979732,TENWDOUBLES-AIN02,1789
9.08.2024,3,F,ARG,W,Hockey,Women,1538244,HOCWTEAM11--ARG01,30
9.08.2024,3,F,ARG,W,Hockey,Women,1538253,HOCWTEAM11--ARG01,46
9.08.2024,3,F,ARG,W,Hockey,Women,1538261,HOCWTEAM11--ARG01,259
9.08.2024,3,F,ARG,W,Hockey,Women,1538260,HOCWTEAM11--ARG01,270
9.08.2024,3,F,ARG,W,Hockey,Women,1538262,HOCWTEAM11--ARG01,292
9.08.2024,3,F,ARG,W,Hockey,Women,1538263,HOCWTEAM11--ARG01,293
9.08.2024,3,F,ARG,W,Hockey,Women,1538266,HOCWTEAM11--ARG01,371
9.08.2024,3,F,ARG,W,Hockey,Women,1900397,HOCWTEAM11--ARG01,455
9.08.2024,3,F,ARG,W,Hockey,Women,1538274,HOCWTEAM11--ARG01,683
9.08.2024,3,F,ARG,W,Hockey,Women,1538276,HOCWTEAM11--ARG01,690
9.08.2024,3,F,ARG,W,Hockey,Women,1538277,HOCWTEAM11--ARG01,884
9.08.2024,3,F,ARG,W,Hockey,Women,1538294,HOCWTEAM11--ARG01,1634
9.08.2024,3,F,ARG,W,Hockey,Women,1538295,HOCWTEAM11--ARG01,1732
9.08.2024,3,F,ARG,W,Hockey,Women,1538299,HOCWTEAM11--ARG01,1745
9.08.2024,3,F,ARG,W,Hockey,Women,1538304,HOCWTEAM11--ARG01,1962
9.08.2024,3,F,ARG,W,Hockey,Women,1538305,HOCWTEAM11--ARG01,1976
3.08.2024,3,F,AUS,X,Swimming,Mixed 4 x 100m Medley Relay,1946183,SWMX4X100MMDAUS01,59
4.08.2024,2,F,AUS,W,Swimming,Women's 4 x 100m Medley Relay,1946183,SWMW4X100MMDAUS01,60
10.08.2024,2,F,AUS,W,Water Polo,Women,1947497,WPOWTEAM7---AUS01,73
10.08.2024,2,F,AUS,W,Water Polo,Women,1947508,WPOWTEAM7---AUS01,74
10.08.2024,2,F,AUS,W,Water Polo,Women,1947546,WPOWTEAM7---AUS01,90
10.08.2024,2,F,AUS,W,Water Polo,Women,1947513,WPOWTEAM7---AUS01,94
11.08.2024,3,F,AUS,W,Basketball,Women,1939946,BKBWTEAM5---AUS01,102
7.08.2024,1,M,AUS,M,Cycling Track,Men's Team Pursuit,1940264,CTRMPURTEAM4AUS01,187
11.08.2024,3,F,AUS,W,Basketball,Women,1939954,BKBWTEAM5---AUS01,206
27.07.2024,1,F,AUS,W,Swimming,Women's 4 x 100m Freestyle Relay,1946159,SWMW4X100MFRAUS01,266
27.07.2024,2,M,AUS,M,Swimming,Men's 4 x 100m Freestyle Relay,1946186,SWMM4X100MFRAUS01,289
27.07.2024,2,M,AUS,M,Swimming,Men's 4 x 100m Freestyle Relay,1946200,SWMM4X100MFRAUS01,302
3.08.2024,3,M,AUS,X,Swimming,Mixed 4 x 100m Medley Relay,1946200,SWMX4X100MMDAUS01,303
8.08.2024,2,M,AUS,M,Canoe Sprint,Men's Kayak Four 500m,1940217,CSPMK4-500M-AUS01,355
8.08.2024,2,M,AUS,M,Canoe Sprint,Men's Kayak Four 500m,1940222,CSPMK4-500M-AUS01,594
11.08.2024,3,F,AUS,W,Basketball,Women,1939948,BKBWTEAM5---AUS01,657
30.07.2024,3,M,AUS,M,Swimming,Men's 4 x 200m Freestyle Relay,1946211,SWMM4X200MFRAUS01,670
6.08.2024,3,M,AUS,M,Cycling Track,Men's Team Sprint,1940262,CTRMSPRTEAM3AUS01,673
10.08.2024,2,F,AUS,W,Water Polo,Women,1947523,WPOWTEAM7---AUS01,677
10.08.2024,2,F,AUS,W,Water Polo,Women,1947540,WPOWTEAM7---AUS01,697
10.08.2024,2,F,AUS,W,Water Polo,Women,1947506,WPOWTEAM7---AUS01,735
27.07.2024,1,F,AUS,W,Swimming,Women's 4 x 100m Freestyle Relay,1946212,SWMW4X100MFRAUS01,751
4.08.2024,2,F,AUS,W,Swimming,Women's 4 x 100m Medley Relay,1946212,SWMW4X100MMDAUS01,752
8.08.2024,2,M,AUS,M,Canoe Sprint,Men's Kayak Four 500m,1940220,CSPMK4-500M-AUS01,765
10.08.2024,2,F,AUS,W,Water Polo,Women,1947541,WPOWTEAM7---AUS01,774
6.08.2024,3,M,AUS,M,Cycling Track,Men's Team Sprint,1940260,CTRMSPRTEAM3AUS01,812
30.07.2024,3,M,AUS,M,Swimming,Men's 4 x 200m Freestyle Relay,1946237,SWMM4X200MFRAUS01,858
27.07.2024,1,F,AUS,W,Swimming,Women's 4 x 100m Freestyle Relay,1946227,SWMW4X100MFRAUS01,868
1.08.2024,1,F,AUS,W,Swimming,Women's 4 x 200m Freestyle Relay,1946227,SWMW4X200MFRAUS01,869
10.08.2024,2,F,AUS,W,Water Polo,Women,1947512,WPOWTEAM7---AUS01,870
11.08.2024,3,F,AUS,W,Basketball,Women,1939959,BKBWTEAM5---AUS01,871
10.08.2024,2,F,AUS,W,Water Polo,Women,1947528,WPOWTEAM7---AUS01,948
7.08.2024,1,M,AUS,M,Cycling Track,Men's Team Pursuit,1940253,CTRMPURTEAM4AUS01,1089
10.08.2024,2,F,AUS,W,Water Polo,Women,1947515,WPOWTEAM7---AUS01,1173
11.08.2024,3,F,AUS,W,Basketball,Women,1939971,BKBWTEAM5---AUS01,1213
11.08.2024,3,F,AUS,W,Basketball,Women,1939952,BKBWTEAM5---AUS01,1219
2.08.2024,3,F,AUS,W,Rowing,Women's Pair,1945644,ROWWNOCOX2--AUS01,1292
27.07.2024,1,F,AUS,W,Swimming,Women's 4 x 100m Freestyle Relay,1946177,SWMW4X100MFRAUS01,1295
3.08.2024,3,F,AUS,X,Swimming,Mixed 4 x 100m Medley Relay,1946177,SWMX4X100MMDAUS01,1296
4.08.2024,2,F,AUS,W,Swimming,Women's 4 x 100m Medley Relay,1946177,SWMW4X100MMDAUS01,1297
3.08.2024,3,F,AUS,X,Swimming,Mixed 4 x 100m Medley Relay,1946198,SWMX4X100MMDAUS01,1301
4.08.2024,2,F,AUS,W,Swimming,Women's 4 x 100m Medley Relay,1946198,SWMW4X100MMDAUS01,1302
11.08.2024,3,F,AUS,W,Basketball,Women,1939955,BKBWTEAM5---AUS01,1309
2.08.2024,3,F,AUS,W,Rowing,Women's Pair,1945670,ROWWNOCOX2--AUS01,1374
30.07.2024,3,M,AUS,M,Swimming,Men's 4 x 200m Freestyle Relay,1946231,SWMM4X200MFRAUS01,1413
7.08.2024,1,M,AUS,M,Cycling Track,Men's Team Pursuit,1940258,CTRMPURTEAM4AUS01,1447
27.07.2024,1,F,AUS,W,Swimming,Women's 4 x 100m Freestyle Relay,1946218,SWMW4X100MFRAUS01,1449
1.08.2024,1,F,AUS,W,Swimming,Women's 4 x 200m Freestyle Relay,1946218,SWMW4X200MFRAUS01,1450
3.08.2024,3,F,AUS,X,Swimming,Mixed 4 x 100m Medley Relay,1946218,SWMX4X100MMDAUS01,1451
4.08.2024,2,F,AUS,W,Swimming,Women's 4 x 100m Medley Relay,1946218,SWMW4X100MMDAUS01,1452
1.08.2024,1,F,AUS,W,Swimming,Women's 4 x 200m Freestyle Relay,1946201,SWMW4X200MFRAUS01,1503
10.08.2024,2,F,AUS,W,Water Polo,Women,1947514,WPOWTEAM7---AUS01,1504
4.08.2024,2,F,AUS,W,Swimming,Women's 4 x 100m Medley Relay,1946146,SWMW4X100MMDAUS01,1554
