medal_date,medal_code,country_code,team_gender,discipline,event,code_athlete,code_team
2024-08-10,1,SWE,M,Beach Volleyball,Men,1934586,VBVMTEAM2---SWE01
2024-08-10,1,SWE,M,Beach Volleyball,Men,1934579,VBVMTEAM2---SWE01
2024-08-09,1,BRA,W,Beach Volleyball,Women,1964088,VBVWTEAM2---BRA01
2024-08-09,1,BRA,W,Beach Volleyball,Women,1964058,VBVWTEAM2---BRA01
2024-08-04,2,AIN,W,Tennis,Women's Doubles,1979734,TENWDOUBLES-AIN02
2024-08-04,2,AIN,W,Tennis,Women's Doubles,1979732,TENWDOUBLES-AIN02
2024-08-09,3,ARG,W,Hockey,Women,1538244,HOCWTEAM11--ARG01
2024-08-09,3,ARG,W,Hockey,Women,1538253,HOCWTEAM11--ARG01
2024-08-09,3,ARG,W,Hockey,Women,1538261,HOCWTEAM11--ARG01
2024-08-09,3,ARG,W,Hockey,Women,1538260,HOCWTEAM11--ARG01
2024-08-09,3,ARG,W,Hockey,Women,1538262,HOCWTEAM11--ARG01
2024-08-09,3,ARG,W,Hockey,Women,1538263,HOCWTEAM11--ARG01
2024-08-09,3,ARG,W,Hockey,Women,1538266,HOCWTEAM11--ARG01
2024-08-09,3,ARG,W,Hockey,Women,1900397,HOCWTEAM11--ARG01
2024-08-09,3,ARG,W,Hockey,Women,1538274,HOCWTEAM11--ARG01
2024-08-09,3,ARG,W,Hockey,Women,1538276,HOCWTEAM11--ARG01
2024-08-09,3,ARG,W,Hockey,Women,1538277,HOCWTEAM11--ARG01
2024-08-09,3,ARG,W,Hockey,Women,1538294,HOCWTEAM11--ARG01
2024-08-09,3,ARG,W,Hockey,Women,1538295,HOCWTEAM11--ARG01
2024-08-09,3,ARG,W,Hockey,Women,1538299,HOCWTEAM11--ARG01
2024-08-09,3,ARG,W,Hockey,Women,1538304,HOCWTEAM11--ARG01
2024-08-09,3,ARG,W,Hockey,Women,1538305,HOCWTEAM11--ARG01
2024-08-03,3,AUS,Mixed,Swimming,Mixed 4 x 100m Medley Relay,1946183,SWMX4X100MMDAUS01
2024-08-04,2,AUS,W,Swimming,Women's 4 x 100m Medley Relay,1946183,SWMW4X100MMDAUS01
2024-08-10,2,AUS,W,Water Polo,Women,1947497,WPOWTEAM7---AUS01
2024-08-10,2,AUS,W,Water Polo,Women,1947508,WPOWTEAM7---AUS01
2024-08-10,2,AUS,W,Water Polo,Women,1947546,WPOWTEAM7---AUS01
2024-08-10,2,AUS,W,Water Polo,Women,1947513,WPOWTEAM7---AUS01
2024-08-11,3,AUS,W,Basketball,Women,1939946,BKBWTEAM5---AUS01
2024-08-07,1,AUS,M,Cycling Track,Men's Team Pursuit,1940264,CTRMPURTEAM4AUS01
2024-08-11,3,AUS,W,Basketball,Women,1939954,BKBWTEAM5---AUS01
2024-07-27,1,AUS,W,Swimming,Women's 4 x 100m Freestyle Relay,1946159,SWMW4X100MFRAUS01
2024-07-27,2,AUS,M,Swimming,Men's 4 x 100m Freestyle Relay,1946186,SWMM4X100MFRAUS01
2024-07-27,2,AUS,M,Swimming,Men's 4 x 100m Freestyle Relay,1946200,SWMM4X100MFRAUS01
2024-08-03,3,AUS,Mixed,Swimming,Mixed 4 x 100m Medley Relay,1946200,SWMX4X100MMDAUS01
2024-08-08,2,AUS,M,Canoe Sprint,Men's Kayak Four 500m,1940217,CSPMK4-500M-AUS01
2024-08-08,2,AUS,M,Canoe Sprint,Men's Kayak Four 500m,1940222,CSPMK4-500M-AUS01
2024-08-11,3,AUS,W,Basketball,Women,1939948,BKBWTEAM5---AUS01
2024-07-30,3,AUS,M,Swimming,Men's 4 x 200m Freestyle Relay,1946211,SWMM4X200MFRAUS01
2024-08-06,3,AUS,M,Cycling Track,Men's Team Sprint,1940262,CTRMSPRTEAM3AUS01
2024-08-10,2,AUS,W,Water Polo,Women,1947523,WPOWTEAM7---AUS01
2024-08-10,2,AUS,W,Water Polo,Women,1947540,WPOWTEAM7---AUS01
2024-08-10,2,AUS,W,Water Polo,Women,1947506,WPOWTEAM7---AUS01
2024-07-27,1,AUS,W,Swimming,Women's 4 x 100m Freestyle Relay,1946212,SWMW4X100MFRAUS01
2024-08-04,2,AUS,W,Swimming,Women's 4 x 100m Medley Relay,1946212,SWMW4X100MMDAUS01
2024-08-08,2,AUS,M,Canoe Sprint,Men's Kayak Four 500m,1940220,CSPMK4-500M-AUS01
