start_date,end_date,status,phase,gender,venue,event_code,url
2024-07-24 15:00:00,2024-07-24 16:45:00,FINISHED,Men's Group B,M,Geoffroy-Guichard Stadium,159,/en/paris-2024/results/football/men/gpb-000100--
2024-07-24 15:00:00,2024-07-24 16:45:00,FINISHED,Men's Group C,M,Parc des Princes,159,/en/paris-2024/results/football/men/gpc-000100--
2024-07-24 15:30:00,2024-07-24 15:46:00,FINISHED,Men's Pool B,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/gpb-000100--
2024-07-24 16:00:00,2024-07-24 16:16:00,FINISHED,Men's Pool B,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/gpb-000200--
2024-07-24 16:30:00,2024-07-24 16:46:00,FINISHED,Men's Pool C,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/gpc-000100--
2024-07-24 17:00:00,2024-07-24 18:45:00,FINISHED,Men's Group A,M,Nice Stadium,159,/en/paris-2024/results/football/men/gpa-000200--
2024-07-24 17:00:00,2024-07-24 18:45:00,FINISHED,Men's Group C,M,La Beaujoire Stadium,159,/en/paris-2024/results/football/men/gpc-000200--
2024-07-24 17:00:00,2024-07-24 17:16:00,FINISHED,Men's Pool C,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/gpc-000200--
2024-07-24 17:30:00,2024-07-24 17:46:00,FINISHED,Men's Pool A,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/gpa-000100--
2024-07-24 18:00:00,2024-07-24 18:16:00,FINISHED,Men's Pool A,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/gpa-000200--
2024-07-24 19:00:00,2024-07-24 20:45:00,FINISHED,Men's Group B,M,Lyon Stadium,159,/en/paris-2024/results/football/men/gpb-000200--
2024-07-24 19:00:00,2024-07-24 20:45:00,FINISHED,Men's Group D,M,Bordeaux Stadium,159,/en/paris-2024/results/football/men/gpd-000200--
2024-07-24 19:00:00,2024-07-24 19:16:00,FINISHED,Men's Pool B,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/gpb-000300--
2024-07-24 19:30:00,2024-07-24 19:46:00,FINISHED,Men's Pool B,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/gpb-000400--
2024-07-24 20:00:00,2024-07-24 20:16:00,FINISHED,Men's Pool C,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/gpc-000300--
2024-07-24 20:30:00,2024-07-24 20:46:00,FINISHED,Men's Pool C,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/gpc-000400--
2024-07-24 21:00:00,2024-07-24 22:45:00,FINISHED,Men's Group A,M,Marseille Stadium,159,/en/paris-2024/results/football/men/gpa-000100--
2024-07-24 21:00:00,2024-07-24 22:45:00,FINISHED,Men's Group D,M,Parc des Princes,159,/en/paris-2024/results/football/men/gpd-000100--
2024-07-24 21:00:00,2024-07-24 21:16:00,FINISHED,Men's Pool A,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/gpa-000300--
2024-07-24 21:30:00,2024-07-24 21:46:00,FINISHED,Men's Pool A,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/gpa-000400--
2024-07-25 09:00:00,2024-07-25 10:30:00,FINISHED,Women's Preliminary Round Group A,W,South Paris Arena 6,164,/en/paris-2024/results/handball/women/gpa-000100--
2024-07-25 09:30:00,2024-07-25 12:30:00,FINISHED,Women's Individual Ranking Round,W,Invalides,1,/en/paris-2024/results/archery/women-s-individual/qual000100--
2024-07-25 11:00:00,2024-07-25 12:30:00,FINISHED,Women's Preliminary Round Group B,W,South Paris Arena 6,164,/en/paris-2024/results/handball/women/gpb-000100--
2024-07-25 14:00:00,2024-07-25 15:30:00,FINISHED,Women's Preliminary Round Group B,W,South Paris Arena 6,164,/en/paris-2024/results/handball/women/gpb-000200--
2024-07-25 14:00:00,2024-07-25 14:16:00,FINISHED,Men's Pool B,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/gpb-000500--
2024-07-25 14:15:00,2024-07-25 17:15:00,FINISHED,Men's Individual Ranking Round,M,Invalides,329,/en/paris-2024/results/archery/men-s-individual/qual000100--
2024-07-25 14:30:00,2024-07-25 14:46:00,FINISHED,Men's Pool B,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/gpb-000600--
2024-07-25 15:00:00,2024-07-25 15:16:00,FINISHED,Men's Pool C,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/gpc-000500--
2024-07-25 15:30:00,2024-07-25 15:46:00,FINISHED,Men's Pool C,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/gpc-000600--
2024-07-25 16:00:00,2024-07-25 17:30:00,FINISHED,Women's Preliminary Round Group A,W,South Paris Arena 6,164,/en/paris-2024/results/handball/women/gpa-000200--
2024-07-25 16:00:00,2024-07-25 16:16:00,FINISHED,Men's Pool A,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/gpa-000500--
2024-07-25 16:30:00,2024-07-25 16:46:00,FINISHED,Men's Pool A,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/gpa-000600--
2024-07-25 17:00:00,2024-07-25 18:45:00,FINISHED,Women's Group A,W,Geoffroy-Guichard Stadium,160,/en/paris-2024/results/football/women/gpa-000200--
2024-07-25 17:00:00,2024-07-25 18:45:00,FINISHED,Women's Group C,W,La Beaujoire Stadium,160,/en/paris-2024/results/football/women/gpc-000100--
2024-07-25 19:00:00,2024-07-25 20:45:00,FINISHED,Women's Group B,W,Marseille Stadium,160,/en/paris-2024/results/football/women/gpb-000200--
2024-07-25 19:00:00,2024-07-25 20:45:00,FINISHED,Women's Group C,W,Bordeaux Stadium,160,/en/paris-2024/results/football/women/gpc-000200--
2024-07-25 19:00:00,2024-07-25 20:30:00,FINISHED,Women's Preliminary Round Group B,W,South Paris Arena 6,164,/en/paris-2024/results/handball/women/gpb-000300--
2024-07-25 20:00:00,2024-07-25 20:16:00,FINISHED,Men's Placing 9-12,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/sf9-000100--
2024-07-25 20:30:00,2024-07-25 20:46:00,FINISHED,Men's Placing 9-12,M,Stade de France,202,/en/paris-2024/results/rugby-sevens/men/sf9-000200--
