team_code,athletes_codes
ARCMTEAM3---CHN01,"['1913366', '1913367', '1913369']"
ARCMTEAM3---COL01,"['1935642', '1543412', '1935644']"
ARCMTEAM3---FRA01,"['1541270', '1541272', '1541275']"
ARCMTEAM3---GBR01,"['1560988', '1560989', '1561003']"
ARCMTEAM3---IND01,"['1546108', '1546112', '1546110']"
ARCMTEAM3---ITA01,"['1915456', '1915454', '1915455']"
ARCMTEAM3---JPN01,"['1890994', '1890985', '1890977']"
ARCMTEAM3---KAZ01,"['1931570', '1560342', '1931572']"
ARCMTEAM3---KOR01,"['1902130', '1902135', '1902144']"
ARCMTEAM3---MEX01,"['1535430', '1536467', '1536460']"
ARCMTEAM3---TPE01,"['1564631', '1564628', '1564630']"
ARCMTEAM3---TUR01,"['1565000', '1565002', '1565006']"
ARCWTEAM3---CHN01,"['1913382', '1913372', '1913380']"
ARCWTEAM3---FRA01,"['1541265', '1541266', '1541268']"
ARCWTEAM3---GBR01,"['1560991', '1560990', '1561000']"
ARCWTEAM3---GER01,"['1553257', '1553258', '1553285']"
ARCWTEAM3---INA01,"['1913983', '1913884', '1913851']"
ARCWTEAM3---IND01,"['1546200', '1546133', '1546132']"
ARCWTEAM3---KOR01,"['1902121', '1902147', '1902148']"
ARCWTEAM3---MAS01,"['1893596', '1893598', '1893601']"
ARCWTEAM3---MEX01,"['1535429', '1535420', '1536479']"
ARCWTEAM3---NED01,"['1973408', '1973411', '1973409']"
ARCWTEAM3---TPE01,"['1564635', '1564634', '1564638']"
ARCWTEAM3---USA01,"['1955599', '1955601', '1955608']"
ARCXTEAM2---AUS01,"['1931124', '1931126']"
ARCXTEAM2---BRA01,"['1958706', '1958717']"
ARCXTEAM2---CAN01,"['1971736', '1971737']"
ARCXTEAM2---CHN01,"['1913380', '1913369']"
ARCXTEAM2---COL01,"['1935464', '1935642']"
ARCXTEAM2---CZE01,"['1894503', '1894507']"
ARCXTEAM2---EGY01,"['1889144', '1888973']"
ARCXTEAM2---ESP01,"['1563638', '1563633']"
ARCXTEAM2---FRA01,"['1541265', '1541270']"
ARCXTEAM2---GBR01,"['1561000', '1561003']"
ARCXTEAM2---GER01,"['1553258', '1553249']"
ARCXTEAM2---INA01,"['1913983', '1913631']"
ARCXTEAM2---IND01,"['1546200', '1546108']"
ARCXTEAM2---ISR01,"['1937691', '1937678']"
ARCXTEAM2---ITA01,"['1915461', '1915454']"
ARCXTEAM2---JPN01,"['1890981', '1890985']"
ARCXTEAM2---KOR01,"['1902147', '1902135']"
ARCXTEAM2---MDA01,"['1898203', '1898162']"
ARCXTEAM2---MEX01,"['1535420', '1535430']"
ARCXTEAM2---NED01,"['1973411', '1973414']"
ARCXTEAM2---SLO01,"['1981582', '1981585']"
ARCXTEAM2---TPE01,"['1564634', '1564630']"
ARCXTEAM2---TUR01,"['1565024', '1565000']"
ARCXTEAM2---UKR01,"['1571753', '1571766']"
ARCXTEAM2---USA01,"['1955601', '1955595']"
ARCXTEAM2---UZB01,"['1562602', '1562613']"
ARCXTEAM2---VIE01,"['1563314', '1563324']"
ATHM4X100M--AUS01,"['1939801', '1939851', '1939785', '1939812', '1939738', '1939856']"
ATHM4X100M--BRA01,"['1951967', '1952123', '1951946', '1952132', '1951974']"
ATHM4X100M--CAN01,"['1974038', '1974049', '1974065', '1974072', '1974096', '1974289']"
ATHM4X100M--CHN01,"['1918954', '1918936', '1918961', '1918943', '1918962']"
ATHM4X100M--FRA01,"['1910609', '1910733', '1911843', '1911898', '1911975', '1911988', '1911990']"
ATHM4X100M--GBR01,"['1924439', '3557190', '1924431', '1924442', '1924457']"
ATHM4X100M--GER01,"['1920083', '1920355', '1920085', '1920122', '1920252', '1920244']"
ATHM4X100M--GHA01,"['1965714', '1964967', '1980759', '1980587', '1980783']"
ATHM4X100M--ITA01,"['1552156', '1552162', '1552167', '1552172', '1552173', '1568465', '1552298']"
ATHM4X100M--JAM01,"['1555502', '1959450', '1567483', '1980161', '1912116']"
ATHM4X100M--JPN01,"['1919832', '1919911', '1921596', '1921599', '1921818', '1921878']"
ATHM4X100M--LBR01,"['1897817', '1897809', '1897821', '1897827', '1897831']"
ATHM4X100M--NED01,"['1972064', '1972066', '1972084', '1972040', '1972133']"
ATHM4X100M--NGR01,"['1969332', '1929250', '1969351', '1933137']"
ATHM4X100M--RSA01,"['1981059', '4343340', '1981060', '1981055', '4339445']"
ATHM4X100M--USA01,"['1960659', '1960125', '1960958', '1965262', '1965202', '1960173']"
ATHM4X400M--BEL01,"['1895555', '1947771', '1895568', '1895577', '1895581', '1895590', '1903107']"
ATHM4X400M--BOT01,"['4975921', '1950939', '1950897', '1951506', '1950918', '1936983']"
ATHM4X400M--BRA01,"['1952028', '1951942', '1952077', '1952006', '1952051']"
