team_code,coaches_codes
ARCMTEAM3---CHN01,
ARCMTEAM3---COL01,
ARCMTEAM3---FRA01,
ARCMTEAM3---GBR01,
ARCMTEAM3---IND01,
ARCMTEAM3---ITA01,
ARCMTEAM3---JPN01,
ARCMTEAM3---KAZ01,
ARCMTEAM3---KOR01,
ARCMTEAM3---MEX01,
ARCMTEAM3---TPE01,
ARCMTEAM3---TUR01,
ARCWTEAM3---CHN01,
ARCWTEAM3---FRA01,
ARCWTEAM3---GBR01,
ARCWTEAM3---GER01,
ARCWTEAM3---INA01,
ARCWTEAM3---IND01,
ARCWTEAM3---KOR01,
ARCWTEAM3---MAS01,
ARCWTEAM3---MEX01,
ARCWTEAM3---NED01,
ARCWTEAM3---TPE01,
ARCWTEAM3---USA01,
ARCXTEAM2---AUS01,
ARCXTEAM2---BRA01,
ARCXTEAM2---CAN01,
ARCXTEAM2---CHN01,
ARCXTEAM2---COL01,
ARCXTEAM2---CZE01,
ARCXTEAM2---EGY01,
ARCXTEAM2---ESP01,
ARCXTEAM2---FRA01,
ARCXTEAM2---GBR01,
ARCXTEAM2---GER01,
ARCXTEAM2---INA01,
ARCXTEAM2---IND01,
ARCXTEAM2---ISR01,
ARCXTEAM2---ITA01,
ARCXTEAM2---JPN01,
ARCXTEAM2---KOR01,
ARCXTEAM2---MDA01,
ARCXTEAM2---MEX01,
ARCXTEAM2---NED01,
ARCXTEAM2---SLO01,
ARCXTEAM2---TPE01,
ARCXTEAM2---TUR01,
ARCXTEAM2---UKR01,
ARCXTEAM2---USA01,
ARCXTEAM2---UZB01,
ARCXTEAM2---VIE01,
ATHM4X100M--AUS01,
ATHM4X100M--BRA01,
ATHM4X100M--CAN01,
ATHM4X100M--CHN01,
ATHM4X100M--FRA01,
ATHM4X100M--GBR01,
ATHM4X100M--GER01,
ATHM4X100M--GHA01,
ATHM4X100M--ITA01,
ATHM4X100M--JAM01,
ATHM4X100M--JPN01,
ATHM4X100M--LBR01,
ATHM4X100M--NED01,
ATHM4X100M--NGR01,
ATHM4X100M--RSA01,
ATHM4X100M--USA01,
ATHM4X400M--BEL01,
ATHM4X400M--BOT01,
ATHM4X400M--BRA01,
ATHM4X400M--ESP01,
ATHM4X400M--FRA01,
ATHM4X400M--GBR01,
ATHM4X400M--GER01,
ATHM4X400M--IND01,
ATHM4X400M--ITA01,
ATHM4X400M--JPN01,
ATHM4X400M--NGR01,
ATHM4X400M--POL01,
ATHM4X400M--RSA01,
ATHM4X400M--TTO01,
ATHM4X400M--USA01,
ATHM4X400M--ZAM01,
ATHW4X100M--AUS01,
ATHW4X100M--BEL01,
ATHW4X100M--CAN01,
ATHW4X100M--CIV01,
ATHW4X100M--ESP01,
ATHW4X100M--FRA01,
ATHW4X100M--GBR01,
ATHW4X100M--GER01,
ATHW4X100M--ITA01,
ATHW4X100M--JAM01,
ATHW4X100M--NED01,
ATHW4X100M--NGR01,
ATHW4X100M--POL01,
ATHW4X100M--SUI01,
ATHW4X100M--TTO01,
ATHW4X100M--USA01,
ATHW4X400M--BEL01,
ATHW4X400M--CAN01,
ATHW4X400M--CUB01,
ATHW4X400M--ESP01,
ATHW4X400M--FRA01,
ATHW4X400M--GBR01,
ATHW4X400M--GER01,
ATHW4X400M--IND01,
ATHW4X400M--IRL01,
ATHW4X400M--ITA01,
ATHW4X400M--JAM01,
ATHW4X400M--NED01,
ATHW4X400M--NOR01,
ATHW4X400M--POL01,
ATHW4X400M--SUI01,
ATHW4X400M--USA01,
ATHX42KWALKTAUS01,
ATHX42KWALKTAUS02,
ATHX42KWALKTBRA01,
ATHX42KWALKTCAN01,
ATHX42KWALKTCHN01,
ATHX42KWALKTCHN02,
ATHX42KWALKTCOL01,
ATHX42KWALKTCOL02,
ATHX42KWALKTCZE01,
ATHX42KWALKTECU01,
ATHX42KWALKTESP01,
ATHX42KWALKTESP02,
ATHX42KWALKTFRA01,
ATHX42KWALKTGER01,
ATHX42KWALKTHUN01,
ATHX42KWALKTIND01,
ATHX42KWALKTITA01,
ATHX42KWALKTJPN01,
ATHX42KWALKTJPN02,
ATHX42KWALKTMEX01,
ATHX42KWALKTPER01,
ATHX42KWALKTPOL01,
ATHX42KWALKTSVK01,
ATHX42KWALKTTUR01,
ATHX42KWALKTUKR01,
ATHX4X400M--BAH01,
ATHX4X400M--BEL01,
ATHX4X400M--DOM01,
ATHX4X400M--FRA01,
ATHX4X400M--GBR01,
ATHX4X400M--GER01,
ATHX4X400M--IRL01,
ATHX4X400M--ITA01,
ATHX4X400M--JAM01,
ATHX4X400M--KEN01,
ATHX4X400M--NED01,
ATHX4X400M--NGR01,
ATHX4X400M--POL01,
ATHX4X400M--SUI01,
ATHX4X400M--UKR01,
ATHX4X400M--USA01,
BDMMDOUBLES-CAN01,
BDMMDOUBLES-CHN01,
BDMMDOUBLES-CHN02,
BDMMDOUBLES-CZE01,
BDMMDOUBLES-DEN01,
BDMMDOUBLES-FRA01,
BDMMDOUBLES-FRA02,
BDMMDOUBLES-GBR01,
BDMMDOUBLES-GER01,
BDMMDOUBLES-INA01,
BDMMDOUBLES-IND01,
BDMMDOUBLES-JPN01,
BDMMDOUBLES-KOR01,
BDMMDOUBLES-MAS01,
BDMMDOUBLES-THA01,
BDMMDOUBLES-TPE01,
BDMMDOUBLES-USA01,
BDMWDOUBLES-AUS01,
BDMWDOUBLES-BUL01,
BDMWDOUBLES-CHN01,
BDMWDOUBLES-CHN02,
BDMWDOUBLES-DEN01,
BDMWDOUBLES-FRA01,
BDMWDOUBLES-HKG01,
BDMWDOUBLES-INA01,
BDMWDOUBLES-IND01,
BDMWDOUBLES-JPN01,
BDMWDOUBLES-JPN02,
BDMWDOUBLES-KOR01,
BDMWDOUBLES-KOR02,
BDMWDOUBLES-MAS01,
BDMWDOUBLES-THA01,
BDMWDOUBLES-USA01,
BDMXDOUBLES-ALG01,
BDMXDOUBLES-CHN01,
BDMXDOUBLES-CHN02,
BDMXDOUBLES-DEN01,
BDMXDOUBLES-FRA01,
BDMXDOUBLES-HKG01,
BDMXDOUBLES-INA01,
BDMXDOUBLES-JPN01,
BDMXDOUBLES-KOR01,
BDMXDOUBLES-KOR02,
BDMXDOUBLES-MAS01,
BDMXDOUBLES-NED01,
BDMXDOUBLES-SGP01,
BDMXDOUBLES-THA01,
BDMXDOUBLES-TPE01,
BDMXDOUBLES-USA01,
BK3MTEAM3---CHN01,
BK3MTEAM3---FRA01,
BK3MTEAM3---LAT01,
BK3MTEAM3---LTU01,
BK3MTEAM3---NED01,
BK3MTEAM3---POL01,
BK3MTEAM3---SRB01,
BK3MTEAM3---USA01,
BK3WTEAM3---AUS01,
BK3WTEAM3---AZE01,
BK3WTEAM3---CAN01,
BK3WTEAM3---CHN01,
BK3WTEAM3---ESP01,
BK3WTEAM3---FRA01,
BK3WTEAM3---GER01,
BK3WTEAM3---USA01,
BKBMTEAM5---AUS01,"['1940074', '1940088']"
BKBMTEAM5---BRA01,"['1952532', '3430822']"
BKBMTEAM5---CAN01,"['1974756', '1974760']"
BKBMTEAM5---ESP01,"['1958754', '1958763']"
BKBMTEAM5---FRA01,"['1573668', '1573669']"
BKBMTEAM5---GER01,"['1898944', '1898959']"
