team_code,team_name,team_gender,country_code,disciplines_code,num_athletes
ARCMTEAM3---CHN01,People's Republic of China,M,CHN,ARC,3
ARCMTEAM3---COL01,Colombia,M,COL,ARC,3
ARCMTEAM3---FRA01,France,M,FRA,ARC,3
ARCMTEAM3---GBR01,Great Britain,M,GBR,ARC,3
ARCMTEAM3---IND01,India,M,IND,ARC,3
ARCMTEAM3---ITA01,Italy,M,ITA,ARC,3
ARCMTEAM3---JPN01,Japan,M,JPN,ARC,3
ARCMTEAM3---KAZ01,Kazakhstan,M,KAZ,ARC,3
ARCMTEAM3---KOR01,Republic of Korea,M,KOR,ARC,3
ARCMTEAM3---MEX01,Mexico,M,MEX,ARC,3
ARCMTEAM3---TPE01,Chinese Taipei,M,TPE,ARC,3
ARCMTEAM3---TUR01,Türkiye,M,TUR,ARC,3
ARCWTEAM3---CHN01,People's Republic of China,W,CHN,ARC,3
ARCWTEAM3---FRA01,France,W,FRA,ARC,3
ARCWTEAM3---GBR01,Great Britain,W,GBR,ARC,3
ARCWTEAM3---GER01,Germany,W,GER,ARC,3
ARCWTEAM3---INA01,Indonesia,W,INA,ARC,3
ARCWTEAM3---IND01,India,W,IND,ARC,3
ARCWTEAM3---KOR01,Republic of Korea,W,KOR,ARC,3
ARCWTEAM3---MAS01,Malaysia,W,MAS,ARC,3
ARCWTEAM3---MEX01,Mexico,W,MEX,ARC,3
ARCWTEAM3---NED01,Netherlands,W,NED,ARC,3
ARCWTEAM3---TPE01,Chinese Taipei,W,TPE,ARC,3
ARCWTEAM3---USA01,United States of America,W,USA,ARC,3
ARCXTEAM2---AUS01,Australia,X,AUS,ARC,2
ARCXTEAM2---BRA01,Brazil,X,BRA,ARC,2
ARCXTEAM2---CAN01,Canada,X,CAN,ARC,2
ARCXTEAM2---CHN01,People's Republic of China,X,CHN,ARC,2
ARCXTEAM2---COL01,Colombia,X,COL,ARC,2
ARCXTEAM2---CZE01,Czechia,X,CZE,ARC,2
ARCXTEAM2---EGY01,Egypt,X,EGY,ARC,2
ARCXTEAM2---ESP01,Spain,X,ESP,ARC,2
ARCXTEAM2---FRA01,France,X,FRA,ARC,2
ARCXTEAM2---GBR01,Great Britain,X,GBR,ARC,2
ARCXTEAM2---GER01,Germany,X,GER,ARC,2
ARCXTEAM2---INA01,Indonesia,X,INA,ARC,2
ARCXTEAM2---IND01,India,X,IND,ARC,2
ARCXTEAM2---ISR01,Israel,X,ISR,ARC,2
ARCXTEAM2---ITA01,Italy,X,ITA,ARC,2
ARCXTEAM2---JPN01,Japan,X,JPN,ARC,2
ARCXTEAM2---KOR01,Republic of Korea,X,KOR,ARC,2
ARCXTEAM2---MDA01,Republic of Moldova,X,MDA,ARC,2
ARCXTEAM2---MEX01,Mexico,X,MEX,ARC,2
ARCXTEAM2---NED01,Netherlands,X,NED,ARC,2
ARCXTEAM2---SLO01,Slovenia,X,SLO,ARC,2
ARCXTEAM2---TPE01,Chinese Taipei,X,TPE,ARC,2
ARCXTEAM2---TUR01,Türkiye,X,TUR,ARC,2
ARCXTEAM2---UKR01,Ukraine,X,UKR,ARC,2
ARCXTEAM2---USA01,United States of America,X,USA,ARC,2
ARCXTEAM2---UZB01,Uzbekistan,X,UZB,ARC,2
ARCXTEAM2---VIE01,Vietnam,X,VIE,ARC,2
ATHM4X100M--AUS01,Australia,M,AUS,ATH,6
ATHM4X100M--BRA01,Brazil,M,BRA,ATH,5
ATHM4X100M--CAN01,Canada,M,CAN,ATH,6
ATHM4X100M--CHN01,People's Republic of China,M,CHN,ATH,5
ATHM4X100M--FRA01,France,M,FRA,ATH,7
ATHM4X100M--GBR01,Great Britain,M,GBR,ATH,5
ATHM4X100M--GER01,Germany,M,GER,ATH,6
ATHM4X100M--GHA01,Ghana,M,GHA,ATH,5
ATHM4X100M--ITA01,Italy,M,ITA,ATH,7
ATHM4X100M--JAM01,Jamaica,M,JAM,ATH,5
ATHM4X100M--JPN01,Japan,M,JPN,ATH,6
ATHM4X100M--LBR01,Liberia,M,LBR,ATH,5
ATHM4X100M--NED01,Netherlands,M,NED,ATH,5
ATHM4X100M--NGR01,Nigeria,M,NGR,ATH,4
ATHM4X100M--RSA01,South Africa,M,RSA,ATH,5
ATHM4X100M--USA01,United States of America,M,USA,ATH,6
ATHM4X400M--BEL01,Belgium,M,BEL,ATH,7
ATHM4X400M--BOT01,Botswana,M,BOT,ATH,6
ATHM4X400M--BRA01,Brazil,M,BRA,ATH,5
ATHM4X400M--ESP01,Spain,M,ESP,ATH,5
ATHM4X400M--FRA01,France,M,FRA,ATH,6
ATHM4X400M--GBR01,Great Britain,M,GBR,ATH,7
ATHM4X400M--GER01,Germany,M,GER,ATH,7
ATHM4X400M--IND01,India,M,IND,ATH,5
ATHM4X400M--ITA01,Italy,M,ITA,ATH,9
ATHM4X400M--JPN01,Japan,M,JPN,ATH,5
ATHM4X400M--NGR01,Nigeria,M,NGR,ATH,6
ATHM4X400M--POL01,Poland,M,POL,ATH,6
ATHM4X400M--RSA01,South Africa,M,RSA,ATH,5
ATHM4X400M--TTO01,Trinidad and Tobago,M,TTO,ATH,5
ATHM4X400M--USA01,United States of America,M,USA,ATH,8
ATHM4X400M--ZAM01,Zambia,M,ZAM,ATH,5
ATHW4X100M--AUS01,Australia,W,AUS,ATH,6
ATHW4X100M--BEL01,Belgium,W,BEL,ATH,6
ATHW4X100M--CAN01,Canada,W,CAN,ATH,5
ATHW4X100M--CIV01,Côte d'Ivoire,W,CIV,ATH,5
ATHW4X100M--ESP01,Spain,W,ESP,ATH,6
ATHW4X100M--FRA01,France,W,FRA,ATH,6
ATHW4X100M--GBR01,Great Britain,W,GBR,ATH,6
ATHW4X100M--GER01,Germany,W,GER,ATH,5
ATHW4X100M--ITA01,Italy,W,ITA,ATH,6
ATHW4X100M--JAM01,Jamaica,W,JAM,ATH,6
ATHW4X100M--NED01,Netherlands,W,NED,ATH,6
ATHW4X100M--NGR01,Nigeria,W,NGR,ATH,5
ATHW4X100M--POL01,Poland,W,POL,ATH,5
ATHW4X100M--SUI01,Switzerland,W,SUI,ATH,6
ATHW4X100M--TTO01,Trinidad and Tobago,W,TTO,ATH,5
ATHW4X100M--USA01,United States of America,W,USA,ATH,6
ATHW4X400M--BEL01,Belgium,W,BEL,ATH,7
ATHW4X400M--CAN01,Canada,W,CAN,ATH,6
ATHW4X400M--CUB01,Cuba,W,CUB,ATH,6
ATHW4X400M--ESP01,Spain,W,ESP,ATH,5
ATHW4X400M--FRA01,France,W,FRA,ATH,7
ATHW4X400M--GBR01,Great Britain,W,GBR,ATH,8
ATHW4X400M--GER01,Germany,W,GER,ATH,6
ATHW4X400M--IND01,India,W,IND,ATH,5
